A,B,C,D,E,F
21,57.33,16,18.53,-0.857168,-0.515038
20,53.26,36,58.38,-10.2309,-13.5768
16,37.29,17,20.35,-67.8823,-67.8822
17,41.24,25,36.13,-4.96149,-17.3027
21,57.47,33,52.2,-17.3027,-4.96147
2,-18.6,39,64.48,21.5536,46.2217
17,41.09,11,8.5,38.9712,22.5
23,65.38,27,40.49,-26.6873,-41.0948
35,113.18,11,8.17,16.6877,3.24375
21,57.47,16,18.31,66.1605,30.8511
17,41.05,25,36.25,-0.927184,-0.374606
18,45.33,21,28.19,-17.738,-6.80899
37,121.01,39,64.13,-82.6891,-40.3301
0,-27,24,34.41,30.9032,16.4315
10,13.13,23,32.35,46.792,40.6756
28,85.48,4,-5.5,-38.5274,-14.0228
22,62.27,11,8.4,-5.45599,-5.85083
9,9.18,28,42.38,-2.22944,-2.00739
4,-10.53,0,-13.55,24.866,23.1879
1,-22.87,4,-5.99,-64.0395,-15.9668
12,21.19,10,6.26,6.23705,3.17793
24,69.47,4,-5.67,-28.3245,-82.2601
0,-26.48,9,4.46,35.0773,8.09823
26,77.29,28,42.35,-46.6288,-37.7592
26,77.1,10,6,19.0564,31.7152
22,61.18,18,22.41,39.7545,71.7188
6,-2.76,16,18.07,49.4337,24.1104
18,45.32,28,42.44,27.3478,79.4235
6,-3.01,8,2.23,21.3432,69.8102
21,57.16,1,-12,-70.4471,-49.3275
28,85.13,32,50.55,-2.50858,-6.53506
4,-10.64,13,12.17,21.131,45.3154
34,109.05,36,57.99,7.94037,0.974954
19,49.23,7,0.04,-39.3193,-27.5317
28,85.22,11,8.18,21.8866,19.0257
32,101.46,14,14.33,12.955,45.1793
22,61.21,39,64.53,9.7617,21.9251
28,85.47,21,28.41,-23.9805,-83.6297
29,89.01,35,56.25,50.2046,50.2046
8,5.08,25,36.28,-6.53506,-2.50857
29,89.22,15,16.13,-43.5001,-75.3442
15,33.52,19,24.31,2.29813,1.92836
35,113.09,6,-1.46,33.3436,34.5283
18,45.54,35,56.03,-4.38559,-14.3446
6,-2.58,30,46.4,-65.4049,-51.0999
10,13.55,0,-13.86,89.3993,29.0476
12,21.47,8,2.2,-43.2633,-72.002
39,129.29,36,58.54,-74.696,-25.7199
8,5.28,34,54,16.3414,4.68583
33,105.12,37,60.2,59.6221,51.8286
18,45.06,4,-5.85,15.2824,21.0344
23,65.28,1,-11.99,82.4891,74.2734
8,5.1,21,29.13,78.7158,43.6328
20,53.27,26,38.03,3.21394,3.83022
38,125.56,11,8.04,-10.9881,-23.564
33,105.5,11,8.06,20.1873,37.9667
20,53.44,28,42.18,10.8929,1.5309
39,129.48,8,2.09,78.1951,38.1383
7,1.16,21,28.22,-87.1553,-35.213
0,-26.67,18,22.2,-20.1517,-31.0308
33,105.45,17,20.41,5.03274,7.46133
14,29.07,0,-13.89,90.5015,9.51208
9,8.99,22,30.15,52.8694,15.16
9,9.11,0,-14.01,49.7164,61.3945
